data_file,algorithm,sample_size,train_test,subject,accuracy,precision,recall,order
amount_1,c5.0,15,training,1-30,0.95,0.9596153846153846,0.9833333333333334,Random
amount_1,c5.0,15,training,1-31,0.95625,1,0.9363636363636363,Random
amount_1,c5.0,15,training,1-32,0.99375,0.9888888888888889,1,Random
amount_1,c5.0,15,training,1-37,0.9866666666666666,1,0.9777777777777777,Random
amount_1,c5.0,15,training,1-38,0.99375,0.9916666666666667,1,Random
amount_1,c5.0,15,training,1-40,0.9875,0.9846153846153846,1,Random
amount_1,c5.0,15,training,1-41,1,1,1,Random
amount_1,c5.0,15,training,1-42,0.975,0.9555555555555556,1,Random
amount_1,c5.0,15,training,1-44,0.98125,0.9846153846153846,0.9916666666666667,Random
amount_1,c5.0,15,training,1-45,0.99375,0.9909090909090909,1,Random
amount_1,c5.0,15,training,1-46,0.975,0.97,0.9888888888888889,Random
amount_1,c5.0,15,training,1-47,0.95625,0.9596153846153846,0.9916666666666667,Random
amount_1,c5.0,15,training,1-48,0.98125,1,0.97,Random
amount_1,c5.0,15,training,1-50,0.9625,0.978021978021978,0.9750000000000001,Random
amount_1,c5.0,15,training,1-51,0.95,0.9625,0.98,Random
amount_1,c5.0,15,training,1-52,0.99375,1,0.9888888888888889,Random
amount_1,c5.0,15,training,1-53,1,1,1,Random
amount_1,c5.0,15,training,1-55,0.9933333333333333,0.99,1,Random
amount_1,c5.0,15,training,1-56,0.9625,0.9549450549450549,1,Random
amount_1,c5.0,15,training,1-58,0.9866666666666666,1,0.9833333333333334,Random
amount_1,c5.0,15,training,1-59,0.98125,0.9909090909090909,0.98,Random
amount_1,c5.0,15,training,1-61,0.9625,0.9777777777777777,0.95,Random
amount_1,c5.0,15,training,1-62,0.99375,0.99,1,Random
amount_1,c5.0,15,training,1-64,0.98125,0.9818181818181818,0.99,Random
amount_1,c5.0,15,training,1-65,0.96875,0.9833333333333333,0.97,Random
amount_1,c5.0,15,training,1-66,1,1,1,Random
amount_1,c5.0,15,training,1-67,0.975,0.9428571428571428,1,Random
amount_1,c5.0,15,training,1-68,0.96875,0.9375,1,Random
amount_1,c5.0,15,training,1-69,0.99375,1,0.99,Random
amount_1,c5.0,15,training,1-70,0.98125,0.9888888888888889,0.975,Random
amount_1,c5.0,15,training,1-71,1,1,1,Random
amount_1,c5.0,15,training,1-72,1,1,1,Random
amount_1,c5.0,15,training,1-73,0.95,0.9282828282828283,0.9875,Random
amount_1,c5.0,15,training,1-74,0.95,0.9102777777777777,1,Random
amount_1,c5.0,20,testing,1-10,0.92,0.95,0.9171428571428571,Random
amount_1,c5.0,20,testing,1-11,0.9,0.9638888888888889,0.9126984126984127,Random
amount_1,c5.0,20,testing,1-13,0.95,0.9875,0.9377777777777778,Random
amount_1,c5.0,20,testing,1-14,0.89,0.9333333333333333,0.9285714285714285,Random
amount_1,c5.0,20,testing,1-15,0.89,0.9032142857142857,0.9207142857142857,Random
amount_1,c5.0,20,testing,1-16,0.95,0.9763888888888889,0.9634920634920635,Random
amount_1,c5.0,20,testing,1-18,0.81,0.8421428571428571,0.8623809523809524,Random
amount_1,c5.0,20,testing,1-19,0.87,0.8787698412698413,0.9178571428571428,Random
amount_1,c5.0,20,testing,1-20,0.8,0.803015873015873,0.8788095238095237,Random
amount_1,c5.0,20,testing,1-21,0.84,0.8453703703703703,0.9603174603174602,Random
amount_1,c5.0,20,testing,1-22,0.97,0.969047619047619,0.9857142857142857,Random
amount_1,c5.0,20,testing,1-23,0.93,0.9857142857142857,0.9038095238095238,Random
amount_1,c5.0,20,testing,1-24,0.89,0.9233333333333333,0.8980952380952381,Random
amount_1,c5.0,20,testing,1-25,0.89,0.975,0.8147619047619047,Random
amount_1,c5.0,20,testing,1-26,0.95,0.9666666666666667,0.95,Random
amount_1,c5.0,20,testing,1-29,0.83,0.8608333333333333,0.8714285714285714,Random
amount_1,c5.0,20,testing,1-30,0.9,0.9541666666666667,0.9287698412698413,Random
amount_1,c5.0,20,testing,1-31,0.9,0.9038095238095238,0.9532142857142857,Random
amount_1,c5.0,20,testing,1-32,0.89,0.9314285714285714,0.86,Random
amount_1,c5.0,20,testing,1-37,0.92,0.9404761904761904,0.9416666666666667,Random
amount_1,c5.0,20,testing,1-38,0.96,0.9875,0.9589285714285714,Random
amount_1,c5.0,20,testing,1-40,0.87,0.929320987654321,0.9208333333333334,Random
amount_1,c5.0,20,testing,1-41,0.98,1,0.9777777777777779,Random
amount_1,c5.0,20,testing,1-42,0.9,0.9016666666666666,0.8766666666666667,Random
amount_1,c5.0,20,testing,1-44,0.92,0.9398809523809524,0.9621031746031746,Random
amount_1,c5.0,20,testing,1-45,0.9,0.9223809523809523,0.9238095238095237,Random
amount_1,c5.0,20,testing,1-46,0.93,0.9061904761904761,0.9833333333333333,Random
amount_1,c5.0,20,testing,1-47,0.9,0.9152777777777779,0.9603174603174602,Random
amount_1,c5.0,20,testing,1-48,0.91,0.9714285714285714,0.8928571428571428,Random
amount_1,c5.0,20,testing,1-50,0.88,0.9297619047619047,0.8994047619047618,Random
amount_1,c5.0,20,testing,1-51,0.9,0.949047619047619,0.8823809523809524,Random
amount_1,c5.0,20,testing,1-52,0.86,0.8736904761904761,0.9089285714285713,Random
amount_1,c5.0,20,testing,1-53,1,1,1,Random
amount_1,c5.0,20,testing,1-55,0.9400000000000001,0.9833333333333333,0.919047619047619,Random
amount_1,c5.0,20,testing,1-56,0.89,0.9470899470899471,0.9163888888888889,Random
amount_1,c5.0,20,testing,1-58,0.97,1,0.9597222222222221,Random
amount_1,c5.0,20,testing,1-59,0.91,0.9412698412698413,0.9246031746031746,Random
amount_1,c5.0,20,testing,1-61,0.8200000000000001,0.8383333333333334,0.72,Random
amount_1,c5.0,20,testing,1-62,0.87,0.8797619047619047,0.918095238095238,Random
amount_1,c5.0,20,testing,1-64,0.97,0.9547619047619047,1,Random
amount_1,c5.0,20,testing,1-65,0.8200000000000001,0.8706746031746031,0.8548809523809523,Random
amount_1,c5.0,20,testing,1-66,0.9400000000000001,0.9383333333333334,0.9383333333333334,Random
amount_1,c5.0,20,testing,1-67,0.97,0.925,1,Random
amount_1,c5.0,20,testing,1-68,0.92,0.9183333333333333,0.91,Random
