measure,lambda,psi,memory_error_type,skew,interactions,mean,sd
GRIM2,0.6,0.25,Skipping,High skew,100,0.150911091,0.2536
GTFT2,0.6,0.25,Skipping,High skew,100,0.089977755,0.0316
RAND2,0.6,0.25,Skipping,High skew,100,0.004,0.0613
TF2T2,0.6,0.25,Skipping,High skew,100,0.146933339,0
TFT2,0.6,0.25,Skipping,High skew,100,0.174488925,0.0707
WSLS2,0.6,0.25,Skipping,High skew,100,0.151944481,0.0706
ALLC2,1.0,0.25,Skipping,High skew,100,0.13554446,0.318
ALLD2,1.0,0.25,Skipping,High skew,100,0.001,0.0834
CTFT2,1.0,0.25,Skipping,High skew,100,0.164833327,0.3486
GRIM2,1.0,0.25,Skipping,High skew,100,0.15887781,0.3477
GTFT2,1.0,0.25,Skipping,High skew,100,0.07531112,0.2798
RAND2,1.0,0.25,Skipping,High skew,100,0.001,0.0834
TF2T2,1.0,0.25,Skipping,High skew,100,0.141877754,0.3417
TFT2,1.0,0.25,Skipping,High skew,100,0.172933318,0.3709
WSLS2,1.0,0.25,Skipping,High skew,100,0.148622207,0.3503
ALLC2,0.87,0.22,Guessing,No skew,100,0.029188891,0.2598
ALLD2,0.87,0.22,Guessing,No skew,100,0.154,0.2519
CTFT2,0.87,0.22,Guessing,No skew,100,0.135588912,0.3554
GRIM2,0.87,0.22,Guessing,No skew,100,0.157,0.344
GTFT2,0.87,0.22,Guessing,No skew,100,0.127400003,0.3332
RAND2,0.87,0.22,Guessing,No skew,100,0.018,0.1651
TF2T2,0.87,0.22,Guessing,No skew,100,0.17886666,0.264
TFT2,0.87,0.22,Guessing,No skew,100,0.061999993,0.3618
WSLS2,0.87,0.22,Guessing,No skew,100,0.13795556,0.3419
ALLC2,0.4,0.25,Guessing,No skew,100,0,0.0361
ALLD2,0.4,0.25,Guessing,No skew,100,0.913,0.4729
CTFT2,0.4,0.25,Guessing,No skew,100,0.003,0.2442
GRIM2,0.4,0.25,Guessing,No skew,100,0.069,0.308
GTFT2,0.4,0.25,Guessing,No skew,100,0.001,0.1568
RAND2,0.4,0.25,Guessing,No skew,100,0.00387778,0.145
TF2T2,0.4,0.25,Guessing,No skew,100,0,0.1994
TFT2,0.4,0.25,Guessing,No skew,100,0.00512222,0.2143
WSLS2,0.4,0.25,Guessing,No skew,100,0.005,0.1468
ALLC2,0.6,0.25,Guessing,No skew,100,0,0
ALLD2,0.6,0.25,Guessing,No skew,100,0.756,0.4297
CTFT2,0.6,0.25,Guessing,No skew,100,0.032300001,0.1742
GRIM2,0.6,0.25,Guessing,No skew,100,0.112,0.3155
GTFT2,0.6,0.25,Guessing,No skew,100,0.016077775,0.123
RAND2,0.6,0.25,Guessing,No skew,100,0.008044444,0.0891
TF2T2,0.6,0.25,Guessing,No skew,100,0.01840002,0.1315
TFT2,0.6,0.25,Guessing,No skew,100,0.037488882,0.1859
WSLS2,0.6,0.25,Guessing,No skew,100,0.01968889,0.138
ALLC2,1.0,0.25,Guessing,No skew,100,0.073655569,0.3161
ALLD2,1.0,0.25,Guessing,No skew,100,0.062,0
CTFT2,1.0,0.25,Guessing,No skew,100,0.130211083,0.3509
GRIM2,1.0,0.25,Guessing,No skew,100,0.12913334,0.3505
GTFT2,1.0,0.25,Guessing,No skew,100,0.119166663,0.2761
RAND2,1.0,0.25,Guessing,No skew,100,0.013,0.0632
TF2T2,1.0,0.25,Guessing,No skew,100,0.268111119,0.342
TFT2,1.0,0.25,Guessing,No skew,100,0.036855552,0.3689
WSLS2,1.0,0.25,Guessing,No skew,100,0.167866664,0.349
ALLC2,1.0,0.0,Perfect,No skew,100,0.131477745,0.2828
ALLD2,1.0,0.0,Perfect,No skew,100,0.001,0.0706
CTFT2,1.0,0.0,Perfect,No skew,100,0.159611085,0.3775
GRIM2,1.0,0.0,Perfect,No skew,100,0.170422218,0.353
GTFT2,1.0,0.0,Perfect,No skew,100,0.095388915,0.3167
RAND2,1.0,0.0,Perfect,No skew,100,0,0.1044
TF2T2,1.0,0.0,Perfect,No skew,100,0.140577771,0.3261
TFT2,1.0,0.0,Perfect,No skew,100,0.153233365,0.3493
WSLS2,1.0,0.0,Perfect,No skew,100,0.148288881,0.3402
ALLC2,0.87,0.22,Skipping,No skew,100,0.152122244,0.2511
ALLD2,0.87,0.22,Skipping,No skew,100,0.001,0.1961
CTFT2,0.87,0.22,Skipping,No skew,100,0.163411084,0.3387
GRIM2,0.87,0.22,Skipping,No skew,100,0.155244437,0.2075
GTFT2,0.87,0.22,Skipping,No skew,100,0.101522235,0.3173
RAND2,0.87,0.22,Skipping,No skew,100,0.003,0.1622
TF2T2,0.87,0.22,Skipping,No skew,100,0.119222232,0.4631
TFT2,0.87,0.22,Skipping,No skew,100,0.162511133,0.0782
WSLS2,0.87,0.22,Skipping,No skew,100,0.141966652,0.4075
ALLC2,0.4,0.25,Skipping,No skew,100,0.079666656,0.2434
ALLD2,0.4,0.25,Skipping,No skew,100,0.068,0.2413
CTFT2,0.4,0.25,Skipping,No skew,100,0.156544439,0.3241
GRIM2,0.4,0.25,Skipping,No skew,100,0.1444889,0.3352
GTFT2,0.4,0.25,Skipping,No skew,100,0.133377765,0.3165
RAND2,0.4,0.25,Skipping,No skew,100,0.028,0.1133
TF2T2,0.4,0.25,Skipping,No skew,100,0.081088904,0.4367
TFT2,0.4,0.25,Skipping,No skew,100,0.167700011,0.1789
WSLS2,0.4,0.25,Skipping,No skew,100,0.141133337,0.3737
ALLC2,0.6,0.25,Skipping,No skew,100,0.095422205,0.3353
ALLD2,0.6,0.25,Skipping,No skew,100,0.005,0.0316
CTFT2,0.6,0.25,Skipping,No skew,100,0.181277779,0.36
GRIM2,0.6,0.25,Skipping,No skew,100,0.159355531,0.3555
GTFT2,0.6,0.25,Skipping,No skew,100,0.122877788,0.2557
RAND2,0.6,0.25,Skipping,No skew,100,0.011,0.0316
TF2T2,0.6,0.25,Skipping,No skew,100,0.128066676,0.3413
TFT2,0.6,0.25,Skipping,No skew,100,0.15397776,0.3688
WSLS2,0.6,0.25,Skipping,No skew,100,0.143022248,0.3483
ALLC2,1.0,0.25,Skipping,No skew,100,0.127266639,0.3248
ALLD2,1.0,0.25,Skipping,No skew,100,0,0
CTFT2,1.0,0.25,Skipping,No skew,100,0.155188908,0.3509
GRIM2,1.0,0.25,Skipping,No skew,100,0.180911132,0.3722
GTFT2,1.0,0.25,Skipping,No skew,100,0.089211133,0.2755
RAND2,1.0,0.25,Skipping,No skew,100,0.001,0.0316
TF2T2,1.0,0.25,Skipping,No skew,100,0.138955523,0.3348
TFT2,1.0,0.25,Skipping,No skew,100,0.163266684,0.3594
WSLS2,1.0,0.25,Skipping,No skew,100,0.14419998,0.3408
TFT family2,1.0,0.0,Perfect,High skew,100,0.526400031,NA
TFT family2,1.0,0.0,Perfect,No skew,100,0.548811136,NA
TFT family2,0.87,0.22,Guessing,High skew,100,0.544188913,NA
TFT family2,0.87,0.22,Guessing,No skew,100,0.503855568,NA
TFT family2,0.87,0.22,Skipping,High skew,100,0.530699992,NA
TFT family2,0.87,0.22,Skipping,No skew,100,0.546666684,NA
TFT family2,0.4,0.25,Guessing,High skew,100,0.02487778,NA
TFT family2,0.4,0.25,Guessing,No skew,100,0.00912222,NA
TFT family2,0.4,0.25,Skipping,High skew,100,0.562055539,NA
TFT family2,0.4,0.25,Skipping,No skew,100,0.538711119,NA
TFT family2,0.6,0.25,Guessing,High skew,100,0.185355565,NA
TFT family2,0.6,0.25,Guessing,No skew,100,0.104266678,NA
TFT family2,0.6,0.25,Skipping,High skew,100,0.568722217,NA
TFT family2,0.6,0.25,Skipping,No skew,100,0.586200003,NA
TFT family2,1.0,0.25,Guessing,High skew,100,0.60204442,NA
TFT family2,1.0,0.25,Guessing,No skew,100,0.554344417,NA
TFT family2,1.0,0.25,Skipping,High skew,100,0.554955519,NA
TFT family2,1.0,0.25,Skipping,No skew,100,0.546622248,NA
Robustness,0.87,0.22,Skipping,No skew,200,0.84587514,0.349071171632155
Robustness,0.87,0.22,Skipping,Low skew,200,0.85731937,0.333276715090215
Robustness,0.87,0.22,Skipping,High skew,200,0.93289202,0.234130539129077
Robustness,0.87,0.22,Skipping,No skew,500,0.63397072,0.471693058299918
Robustness,0.87,0.22,Skipping,Low skew,500,0.68083877,0.45451238956915
Robustness,0.87,0.22,Skipping,High skew,500,0.88319984,0.305295708973926
Robustness,0.87,0.22,Skipping,No skew,1500,0.22239101,0.406461767696396
Robustness,0.87,0.22,Skipping,Low skew,1500,0.36828422,0.475278091597271
Robustness,0.87,0.22,Skipping,High skew,1500,0.76712767,0.408645476812347
Matrix2,1.0,0.0,Perfect,No skew,100,0.99696862,0.0321503511890178
Matrix2,1.0,0.0,Perfect,High skew,100,0.99855352,0.005465722947327
Matrix2,1.0,0.25,Skipping,No skew,100,0.99804537,0.016529931424419
Matrix2,1.0,0.25,Skipping,High skew,100,0.99692914,0.0357277340569094
Matrix2,1.0,0.25,Guessing,No skew,100,0.71921301,0.272947663259678
Matrix2,1.0,0.25,Guessing,High skew,100,0.8075648,0.230381995055181
Matrix2,0.4,0.25,Skipping,No skew,100,0.91699142,0.261067461258794
Matrix2,0.4,0.25,Skipping,High skew,100,0.98829158,0.0929850219896625
Matrix2,0.4,0.25,Guessing,No skew,100,0.03155934,0.107611654455914
Matrix2,0.4,0.25,Guessing,High skew,100,0.04026564,0.130032328685961
Matrix2,0.6,0.25,Skipping,No skew,100,0.98816812,0.0872763250875424
Matrix2,0.6,0.25,Skipping,High skew,100,0.99651699,0.0314658120754807
Matrix2,0.6,0.25,Guessing,No skew,100,0.1224164,0.237728885909634
Matrix2,0.6,0.25,Guessing,High skew,100,0.19017223,0.29607734460055
Matrix2,0.87,0.22,Skipping,No skew,100,0.99599093,0.0418246554634911
Matrix2,0.87,0.22,Skipping,High skew,100,0.99859178,0.0049800888864474
Matrix2,0.87,0.22,Guessing,No skew,100,0.59222449,0.321377035911017
Matrix2,0.87,0.22,Guessing,High skew,100,0.71027868,0.299901674288255
GTFTp1,1.0,0.0,Perfect,No skew,100,0.98251546,0.115941835800876
GTFTp1,1.0,0.0,Perfect,High skew,100,0.98499388,0.10144722035849
GTFTp1,1.0,0.25,Skipping,No skew,100,0.93097612,0.240454280776803
GTFTp1,1.0,0.25,Skipping,High skew,100,0.96199422,0.174907715399573
GTFTp1,1.0,0.25,Guessing,No skew,100,0.1492771,0.250759117455731
GTFTp1,1.0,0.25,Guessing,High skew,100,0.2969171,0.353434423708631
GTFTp1,0.4,0.25,Skipping,No skew,100,0.02801444,0.152489621150572
GTFTp1,0.4,0.25,Skipping,High skew,100,0.53550958,0.490132869693492
GTFTp1,0.4,0.25,Guessing,No skew,100,0.00061345,0.0137109250549831
GTFTp1,0.4,0.25,Guessing,High skew,100,0.00205055,0.0244375860102324
GTFTp1,0.6,0.25,Skipping,No skew,100,0.49200812,0.493640274975963
GTFTp1,0.6,0.25,Skipping,High skew,100,0.88150046,0.310329934464617
GTFTp1,0.6,0.25,Guessing,No skew,100,0.00412779,0.0365328021543537
GTFTp1,0.6,0.25,Guessing,High skew,100,0.00632032,0.0461544986978263
GTFTp1,0.87,0.22,Skipping,No skew,100,0.91798835,0.263354777600222
GTFTp1,0.87,0.22,Skipping,High skew,100,0.95400689,0.194721275963724
GTFTp1,0.87,0.22,Guessing,No skew,100,0.05827898,0.160212039780568
GTFTp1,0.87,0.22,Guessing,High skew,100,0.12975016,0.257303489297715
SUS,0.6,0.25,Skipping,No skew,100,0.70310011,0.412218043534612
SUS,0.6,0.25,Skipping,High skew,100,0.862818486,0.321782455809248
SUS,0.6,0.25,Guessing,No skew,100,0.249179747,0.265638056887755
SUS,0.6,0.25,Guessing,High skew,100,0.289462581,0.289753234755059
SUS,0.87,0.22,Skipping,No skew,100,0.90435462,0.267109112013754
SUS,0.87,0.22,Skipping,High skew,100,0.912994016,0.264708912779798
SUS,0.87,0.22,Guessing,No skew,100,0.348253267,0.292372607043018
SUS,0.87,0.22,Guessing,High skew,100,0.441305956,0.315537262281208
Truncation,0.6,0.25,Skipping,No skew,100,0.28099692,0.448874102636063
Truncation,0.6,0.25,Skipping,High skew,100,0.76403576,0.412694322749965
Truncation,0.6,0.25,Guessing,No skew,100,0,0
Truncation,0.6,0.25,Guessing,High skew,100,0,0
Truncation,0.87,0.22,Skipping,No skew,100,0.95512746,0.185418698559568
Truncation,0.87,0.22,Skipping,High skew,100,0.93475011,0.226816046365721
Truncation,0.87,0.22,Guessing,No skew,100,0.00775334,0.0682443698224026
Truncation,0.87,0.22,Guessing,High skew,100,0.07014048,0.196853528717517
AbsChange,0.4,0.25,Guessing,High skew,100,0.242484,NA
AbsChange,0.4,0.25,Guessing,No skew,100,0.243345,NA
AbsChange,0.6,0.25,Guessing,High skew,100,0.230019,NA
AbsChange,0.6,0.25,Guessing,No skew,100,0.231148,NA
AbsChange,0.87,0.22,Guessing,High skew,100,0.202766,NA
AbsChange,0.87,0.22,Guessing,No skew,100,0.204591,NA
AbsChange,1.0,0.25,Guessing,High skew,100,0.188668,NA
AbsChange,1.0,0.25,Guessing,No skew,100,0.193324,NA
AbsChange,0.4,0.25,Skipping,High skew,100,0.051194,NA
AbsChange,0.4,0.25,Skipping,No skew,100,0.062107,NA
AbsChange,0.6,0.25,Skipping,High skew,100,0.043638,NA
AbsChange,0.6,0.25,Skipping,No skew,100,0.050879,NA
AbsChange,0.87,0.22,Skipping,High skew,100,0.037008,NA
AbsChange,0.87,0.22,Skipping,No skew,100,0.040032,NA
AbsChange,1.0,0.25,Skipping,High skew,100,0.036093,NA
AbsChange,1.0,0.25,Skipping,No skew,100,0.038253,NA
NetChange,1.0,0.25,Skipping,No skew,100,0.011119,NA
NetChange,1.0,0.25,Skipping,High skew,100,0.0066775,NA
NetChange,0.4,0.25,Skipping,No skew,100,0.04126,NA
NetChange,0.4,0.25,Skipping,High skew,100,0.026524,NA
NetChange,0.6,0.25,Skipping,No skew,100,0.027377,NA
NetChange,0.6,0.25,Skipping,High skew,100,0.016556,NA
NetChange,0.87,0.22,Skipping,No skew,100,0.013378,NA
NetChange,0.87,0.22,Skipping,High skew,100,0.0081478,NA
NetChange,1.0,0.25,Guessing,No skew,100,-0.14359,NA
NetChange,1.0,0.25,Guessing,High skew,100,-0.14375,NA
NetChange,0.4,0.25,Guessing,No skew,100,-0.17274,NA
NetChange,0.4,0.25,Guessing,High skew,100,-0.17299,NA
NetChange,0.6,0.25,Guessing,No skew,100,-0.16705,NA
NetChange,0.6,0.25,Guessing,High skew,100,-0.16866,NA
NetChange,0.87,0.22,Guessing,No skew,100,-0.15159,NA
NetChange,0.87,0.22,Guessing,High skew,100,-0.15379,NA
