subject_nr,gender,age,race,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
41,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NaN
42,Female,19,White,1,0,1,1,0,1,5,5,3,3,2.4292929292929295
43,Female,18,Asian,0.25,0,0,0,0,0,5,4,3,1,3.570707070707071
44,Female,22,White,0.25,0.25,0.17,0.17,1,0.17,3,3,1,2,2.888888888888889
45,Female,20,White,0.25,0,0,0,0.17,0.17,4,3,1,3,2.45959595959596
46,Female,19,White,1,1,1,1,0.17,0.17,2,2,1,1,2.6010101010101008
47,Female,20,White,1,1,1,0,1,1,1,1,1,1,1.606060606060606
48,Male,18,White,0.25,0,0.5,0,0.5,0,6,5,4,3,2.51010101010101
49,Female,23,White,0.50,0.50,0,0,0.5,0.5,3,2,1,1,3.0606060606060606
50,Female,18,Asian,1,1,1,1,1,1,4,1,1,1,2.8333333333333335
51,Female,18,White,0,0,1,0,0.5,0,3,1,1,3,2.282828282828283
52,Female,20,White,0.50,0,0,0,1,1,4,4,1,1,2.7323232323232323
53,Female,20,White,0.50,0.50,0.27,0.27,0.27,0.27,3,3,1,2,1.8787878787878787
54,Female,20,White,0,0,0,0,0.25,0,4,4,1,1,2.2575757575757573
55,Male,21,White,0.50,0.50,0.38,0.38,0.38,0.38,5,2,3,1,3.51010101010101
56,Male,20,White,0.50,0.50,0.5,0.5,0.5,0.5,4,4,1,1,3.202020202020202
57,Male,19,White,0.50,0.50,0.5,0,0.17,0.17,3,2,1,1,2.868686868686869
58,Male,21,White,0.25,0.25,0,0,0.17,0,5,4,3,1,3.3232323232323235
59,Female,20,Asian,1,0.25,2.17,1,1,0,3,3,3,5,2.1525252525252525
60,Male,19,Asian, 1.17, 1.17,1.17,1.17,1.17,1.17,2,4,1,1,3.4393939393939394
61,Female,18,White,0.25,0,0,0,0,0,4,4,5,1,1.5151515151515151
62,Female,18,White,0,0,0,0,0,0,4,4,3,1,2.1717171717171717
63,Female,19,White,0,0,1,1,0.5,0,4,4,1,2,2.2626262626262625
64,Female,18,White,0.25,0.25,0.25,0.17,0.17,0.17,4,1,1,1,3.0353535353535355
65,Female,19,White,0.50,0.50,0.5,0.5,0.5,0.5,2,3,3,3,2.45959595959596
66,Male,19,White,0.25,0,0,0,0.17,0.17,4,5,1,3,2.5656565656565657
67,Female,18,Hispanic,1,1,0,0,1,0,5,4,2,2,2.772727272727273
68,Male,21,White, 1.00,0.50,0,1,0,1.5,2,5,1,1,2.611111111111111
69,Male,20,White,0.50,0.25,0.17,0.17,0.17,0.17,2,2,1,1,2.9545454545454546
70,Male,18,White,0,0,0,0,0.17,0.17,3,2,1,1,3.2424242424242427
71,Male,18,"1,2",0.50,0.50,0.5,0.5,0.5,0.5,3,2,1,3,3.595959595959596
72,Female,19,Hispanic,1,1,1,1,1,1,2,2,1,1,2.3737373737373737
73,Female,21,White,0.50,0.50,0.5,0.17,0.17,0.17,1,2,2,3,2.909090909090909
74,Female,21,White,0.50,0.50,1,0,0.27,0,3,6,1,1,2.4292929292929295
75,Female,20,White,NA,0.25,0,0,0,0,5,NA,2,NA,2.9545454545454546
76,Male,29,White,0.50,0.50,0.5,0.5,0.5,0.5,1,1,1,1,3.5555555555555554
77,Male,21,White,0.50,NA,0,0.17,0,0.17,4,4,3,3,3.3232323232323235
78,Female,22,Asian,0.25,0.25,1,0,0,0,3,4,3,5,3.48989898989899
79,Female,19,Hispanic,0.50,0.50,0.5,0.5,1,1,4,4,3,1,2.570707070707071
80,Female,20,White,0,0,0,0,0.5,0,3,4,2,1,4.282828282828283
81,Female,20,White,1,1,1,1,1,1,1,4,2,3,3.2474747474747474
82,Female,18,White,0,0,0,0,1,0,3,3,1,1,2.8737373737373737
83,Male,18,White,1,0.50,1,1,1,1,5,4,3,5,2.9343434343434343
84,Female,17,White,0,0,0,0,0.5,0,5,2,4,1,1.9494949494949494
85,Female,19,White,0.25,0.25,0,0,0,0,5,3,4,5,3.0707070707070705
86,Female,18,White,1,1,1,1,1,1,2,2,1,1,2.0303030303030303
87,Female,20,"1,5",1,1,1,1,0.17,0.17,4,4,1,1,1.9141414141414141
88,Female,18,White,0.50,0.50,1,0,0.5,0,5,6,4,5,3.0555555555555554
89,Female,18,White,0.25,0.25,0.25,0,1,0,5,4,3,3,1.823232323232323
90,Female,21,White,0.50,0.50,1,0.5,0,0,2,3,2,5,2.823232323232323
91,Male,18,Asian,0,0,0,0,0.27,0,3,3,4,4,3.2222222222222223
92,Female,18,White,0.25,0.25,0,0.25,0.25,0.25,3,2,2,3,3.0202020202020203
93,Female,18,Hispanic,1,0.50,1,1,0.17,0.17,2,2,1,1,1.595959595959596
94,Female,21,Black/African American,1,1,1,1,1,1,4,4,2,1,2.217171717171717
95,Female,18,White,0,0,0,0,0,0,4,4,1,1,3.398989898989899
96,Male,19,White,0.25,0.25,0.25,0.25,0.17,0.17,3,2,1,1,2.193939393939394
97,Female,19,White,0.50,0.25,0.17,0.17,1,1,5,3,1,1,2.51010101010101
98,Female,18,White,0,0,0,0,0,0,4,1,1,1,3.186868686868687
99,Female,18,Other,0.50,0.50,0.5,0.5,0.17,0.17,2,2,1,1,2.7222222222222223
100,Female,18,White,1,1,1,1,1,1,2,2,2,2,2.418181818181818
101,Female,20,White,1,1,0.5,1,0,1,3,3,1,1,2.2424242424242427
102,Female,19,White,0,0.25,0,0,0.17,0,3,3,3,1,2.0707070707070705
103,Female,19,"1,2",0.50,0,0,0,1,0,4,4,1,1,2.6565656565656566
104,Female,21,White,0.25, 0.17,0.17,0,0,0,5,5,1,1,3.1010101010101008
105,Female,19,Black/African American,0,0,0,1,0,0,4,4,5,3,3.45959595959596
106,Male,18,White,0.25,0,0,0,0,0,4,4,1,1,2.262626262626263
107,Male,19,White,1,1,2.17,0.17,2.17,0,3,2,3,3,2.0353535353535355
108,Male,19,Asian,1,1,1,1,0,0,2,4,1,5,4.3232323232323235
109,Male,20,Black/African American,0.25,0,0.25,0,0.5,0,3,4,2,1,3.308080808080808
110,Female,21,White,0.50,0.50,0,0.5,0.17,0.17,5,4,3,1,2.3434343434343434
111,Female,19,White,0.25,0,1,0,0.17,0.19,2,3,1,1,3.3686868686868685
112,Female,19,"1,2",1,0.50,0.25,0.5,0,1,5,3,1,1,2.4545454545454546
113,Male,20,White,0.50,0,1,0,0,0.5,4,4,3,2,3.898989898989899
114,Female,22,"1,3", 0.17, 0.17,0.17,0.17,0.17,0.17,2,2,1,1,2.1616161616161618
115,Female,17,White,0.50,0,0.5,0.5,0.75,0.75,5,2,3,2,2.8434343434343434
116,Male,19,White,1,0.50,0.77,0.77,0.77,0,4,5,3,1,3.4494949494949494
117,Female,22,Other,0.50,0.50,2,0.5,2,1,4,3,2,1,2.4494949494949494
118,Female,18,White, 2.00, 2.00,2,2,2,2,1,2,1,1,2.4343434343434343
119,Female,19,Black/African American,NA,0,0,0,0,0,4,4,1,1,2.1666666666666665
120,Female,18,"1,2", 3,0.25,3,1,3,0,5,3,3,1,3.797979797979798
121,Female,18,White,1,1,1,1,1,1,4,3,2,2,2.3434343434343434
122,Female,18,White,1,1,2,0,1,0,5,4,1,2,2.9242424242424243
123,Male,18,Hispanic,1,NA,1.17,0,3,1.17,1,4,1,3,2.803030303030303
124,Female,18,White,0,0.50,0.75,0.5,0.27,0.27,1,1,1,1,2.8434343434343434
125,Female,18,White,1,1,1,1,1,1,2,1,2,1,1.0555555555555556
126,Female,18,White,0,0,0,0,0,0,3,3,1,1,2.2424242424242427
127,Female,19,White,1,1,1,0,0,2,4,2,3,1,2.6414141414141414
128,Male,18,"1,6",1,0,1,1,1,1,4,5,1,3,2.2222222222222223
129,Female,21,White,0.50,0.25,1,1,1,0,4,4,3,4,2.282828282828283
130,Male,20,Hispanic, 2,1,2,1,2,0,2,5,3,4,3.0353535353535355
131,Female,18,White, 2.00,0,2,0,1.17,1.17,4,4,1,1,3.095959595959596
132,Female,19,White,0.25,0.25,0.17,0,0.17,0.17,3,2,1,1,3.292929292929293
133,Female,18,Hispanic,0.25,0.25,0.25,0,0.17,0.17,2,1,1,1,2.727272727272727
134,Female,19,"1,4",1,1,1,1,0,1,5,2,2,1,1.8333333333333333
135,Female,21,White,0.25,0,0,0,0.17,0.26,3,3,3,3,2.474747474747475
136,Female,18,White,0.25,0,0,0,0,0,4,4,5,3,3.080808080808081
137,Female,22,Hispanic,1,0,1,0,0,0,4,4,2,1,3.095959595959596
138,Female,19,White,0,0,0,0,0,0,5,5,1,1,3.515151515151515
139,Female,19,"1,2",0,0,0,0,0,0,3,2,1,1,2.54040404040404
140,Female,18,Hispanic,0,0,0,0,0,0,4,4,3,1,1.6717171717171717
141,Male,19,Hispanic,0,0,0,0,0,0,4,4,3,1,3.1363636363636362
142,Female,18,White,0,0,0,0,0.17,0.17,4,4,1,1,3.217171717171717
143,Female,21,White,0.50,NA,0,0,0,0,2,3,3,3,2.106060606060606
