datatype,participant,condition,time,diff,mean
Amount,3012,exercise,now,prepost30,0
Amount,3012,exercise,later,prepost30,0
Amount,3012,rest,now,prepost30,93.75
Amount,3012,rest,later,prepost30,0
Amount,3013,exercise,now,prepost30,75
Amount,3013,exercise,later,prepost30,75
Amount,3013,rest,now,prepost30,93.75
Amount,3013,rest,later,prepost30,112.5
Amount,3015,exercise,now,prepost30,150
Amount,3015,exercise,later,prepost30,112.5
Amount,3015,rest,now,prepost30,112.5
Amount,3015,rest,later,prepost30,0
Amount,3017,exercise,now,prepost30,0
Amount,3017,exercise,later,prepost30,-18.75
Amount,3017,rest,now,prepost30,56.25
Amount,3017,rest,later,prepost30,56.25
Amount,3018,exercise,now,prepost30,168.75
Amount,3018,exercise,later,prepost30,18.75
Amount,3018,rest,now,prepost30,75
Amount,3018,rest,later,prepost30,-18.75
Amount,3019,exercise,now,prepost30,56.25
Amount,3019,exercise,later,prepost30,37.5
Amount,3019,rest,now,prepost30,-56.25
Amount,3019,rest,later,prepost30,-37.5
Amount,3021,exercise,now,prepost30,-18.75
Amount,3021,exercise,later,prepost30,0
Amount,3021,rest,now,prepost30,-18.75
Amount,3021,rest,later,prepost30,-18.75
Amount,3024,exercise,now,prepost30,112.5
Amount,3024,exercise,later,prepost30,18.75
Amount,3024,rest,now,prepost30,37.5
Amount,3024,rest,later,prepost30,-18.75
Choice,5,exercise,NA,prepost,0.5
Choice,5,exercise,NA,prepost30,1
Choice,5,rest,NA,prepost,-0.25
Choice,5,rest,NA,prepost30,-0.25
Choice,11,exercise,NA,prepost,0.25
Choice,11,exercise,NA,prepost30,0.25
Choice,11,rest,NA,prepost,0
Choice,11,rest,NA,prepost30,-0.25
Choice,12,exercise,NA,prepost,0
Choice,12,exercise,NA,prepost30,0.75
Choice,12,rest,NA,prepost,0.25
Choice,12,rest,NA,prepost30,0
Choice,14,exercise,NA,prepost,0
Choice,14,exercise,NA,prepost30,0
Choice,14,rest,NA,prepost,0.5
Choice,14,rest,NA,prepost30,0.5
Choice,16,exercise,NA,prepost,0.25
Choice,16,exercise,NA,prepost30,0.25
Choice,16,rest,NA,prepost,0.5
Choice,16,rest,NA,prepost30,0.5
Choice,17,exercise,NA,prepost,0
Choice,17,exercise,NA,prepost30,0
Choice,17,rest,NA,prepost,0.75
Choice,17,rest,NA,prepost30,0.75
Choice,19,exercise,NA,prepost,0
Choice,19,exercise,NA,prepost30,0
Choice,19,rest,NA,prepost,0
Choice,19,rest,NA,prepost30,0
Choice,20,exercise,NA,prepost,-0.5
Choice,20,exercise,NA,prepost30,-0.5
Choice,20,rest,NA,prepost,0
Choice,20,rest,NA,prepost30,0.25
Choice,22,exercise,NA,prepost,0
