data_file,algorithm,subject,predictor,importance
amount_1,rf,1-13,discrim,87.88437877745866
amount_1,rf,1-13,logistic,46.114114699000744
amount_1,glm,1-13,small,88.89092287547055
amount_1,glm,1-13,large,87.82250416288272
amount_1,glm,1-13,ratio,0
amount_1,glm,1-13,log_ratio,12.981265926957544
amount_1,glm,1-13,discrim,3.427049849258902
amount_1,glm,1-13,logistic,100
amount_1,nnet,1-13,small,62.214724218442875
amount_1,nnet,1-13,large,99.62556793945826
amount_1,nnet,1-13,difference,100
amount_1,nnet,1-13,ratio,0
amount_1,nnet,1-13,log_ratio,9.025876956546512
amount_1,nnet,1-13,discrim,16.77846215389965
amount_1,nnet,1-13,logistic,8.202631417720257
amount_1,rpart,1-14,difference,45.62079756740127
amount_1,rpart,1-14,discrim,100
amount_1,rpart,1-14,log_ratio,100
amount_1,rpart,1-14,logistic,45.62079756740128
amount_1,rpart,1-14,ratio,100
amount_1,rpart,1-14,small,0
amount_1,rpart,1-14,large,0
amount_1,c5.0,1-14,ratio,100
amount_1,c5.0,1-14,logistic,100
amount_1,c5.0,1-14,difference,94
amount_1,c5.0,1-14,small,0
amount_1,c5.0,1-14,large,0
amount_1,c5.0,1-14,log_ratio,0
amount_1,c5.0,1-14,discrim,0
amount_1,naive_bayes,1-14,small,4.7738693467336795
amount_1,naive_bayes,1-14,large,0
amount_1,naive_bayes,1-14,difference,79.64824120603015
amount_1,naive_bayes,1-14,ratio,100
amount_1,naive_bayes,1-14,log_ratio,100
amount_1,naive_bayes,1-14,discrim,100
amount_1,naive_bayes,1-14,logistic,79.64824120603015
amount_1,knn,1-14,small,4.7738693467336795
amount_1,knn,1-14,large,0
amount_1,knn,1-14,difference,79.64824120603015
amount_1,knn,1-14,ratio,100
amount_1,knn,1-14,log_ratio,100
amount_1,knn,1-14,discrim,100
amount_1,knn,1-14,logistic,79.64824120603015
amount_1,rf,1-14,small,1.1084360709204575
amount_1,rf,1-14,large,0
amount_1,rf,1-14,difference,47.50003601270002
amount_1,rf,1-14,ratio,91.59015116708592
amount_1,rf,1-14,log_ratio,100
amount_1,rf,1-14,discrim,84.41928877671344
amount_1,rf,1-14,logistic,50.285399777717146
amount_1,glm,1-14,small,9.630833894828521
amount_1,glm,1-14,large,0
amount_1,glm,1-14,ratio,56.22283613014177
amount_1,glm,1-14,log_ratio,26.59057763773051
amount_1,glm,1-14,discrim,100
amount_1,glm,1-14,logistic,84.99362103694254
amount_1,nnet,1-14,small,61.10395932483318
amount_1,nnet,1-14,large,33.898662477438805
amount_1,nnet,1-14,difference,100
amount_1,nnet,1-14,ratio,26.55808357123374
amount_1,nnet,1-14,log_ratio,0
amount_1,nnet,1-14,discrim,71.61235426223598
amount_1,nnet,1-14,logistic,10.383982848409923
amount_1,rpart,1-15,difference,100
amount_1,rpart,1-15,discrim,83.42280370998805
amount_1,rpart,1-15,log_ratio,83.42280370998805
amount_1,rpart,1-15,logistic,100
amount_1,rpart,1-15,ratio,83.42280370998805
amount_1,rpart,1-15,small,0
amount_1,rpart,1-15,large,0
amount_1,c5.0,1-15,large,100
amount_1,c5.0,1-15,difference,100
amount_1,c5.0,1-15,ratio,100
amount_1,c5.0,1-15,logistic,100
amount_1,c5.0,1-15,small,81.25574272588054
amount_1,c5.0,1-15,discrim,68.75957120980092
amount_1,c5.0,1-15,log_ratio,0
amount_1,naive_bayes,1-15,small,0
amount_1,naive_bayes,1-15,large,47.22753346080306
amount_1,naive_bayes,1-15,difference,100
amount_1,naive_bayes,1-15,ratio,93.69024856596558
amount_1,naive_bayes,1-15,log_ratio,93.69024856596558
amount_1,naive_bayes,1-15,discrim,93.69024856596558
amount_1,naive_bayes,1-15,logistic,100
amount_1,knn,1-15,small,0
amount_1,knn,1-15,large,47.22753346080306
amount_1,knn,1-15,difference,100
amount_1,knn,1-15,ratio,93.69024856596558
amount_1,knn,1-15,log_ratio,93.69024856596558
